丕
世
丙
丞
中
主
乃
久
乘
乾
事
井
交
亨
亮
什
仁
介
仕
付
令
以
仰
仲
任
仿
企
休
伸
位
住
佐
佑
佔
余
佛
作
佰
佶
侃
來
侖
侯
俊
保
信
修
倉
候
倫
偉
健
傅
傑
備
傳
儁
億
儉
儒
儲
允
元
充
兆
先
光
克
全
共
兵
其
典
冀
再
冠
冶
凡
凱
刃
分
列
則
剋
前
剛
創
劉
劍
力
功
加
劭
勁
勃
勇
勉
動
務
勝
勳
包
化
北
匡
匯
區
升
午
協
博
卯
印
厚
原
去
參
及
友
取
召
史
右
合
吉
同
名
后
向
吾
呈
告
周
呼
命
和
咸
品
哲
唐
商
啟
善
嗣
嘯
器
因
固
國
圖
團
土
在
地
圳
均
坊
坡
坤
坦
垂
垣
城
域
執
培
基
堂
堅
堪
堯
報
境
增
墩
壘
壟
壩
士
壯
壹
壽
夥
大
天
奇
奈
奉
奎
奔
套
奪
奮
威
子
孔
存
孚
孝
孫
學
宇
守
安
宏
宗
官
宙
定
宜
宣
宮
宰
宴
宸
宿
寅
富
實
寬
寰
寵
寶
寺
封
將
專
尉
尊
尚
尤
就
居
展
履
山
屹
岐
岡
岩
岳
岷
岸
峙
峪
峰
峻
崇
崎
崑
崖
崗
嵩
嶽
巖
川
州
巡
左
巨
巴
布
希
帥
師
席
常
幫
幹
幾
序
店
度
庭
庶
康
庸
廉
廟
廣
廳
延
廷
建
式
弓
弘
張
強
弼
彌
彪
彭
彰
征
律
後
徑
得
從
御
復
循
徵
德
必
志
忠
快
恆
恕
恢
恩
恪
恭
悌
悟
惟
愈
慎
慶
憲
應
懋
懷
戈
成
戚
戰
戶
房
才
扶
承
技
拓
拔
拯
拴
持
振
挺
捍
接
提
揚
揮
援
搏
擁
擇
操
擎
擴
攀
支
收
攸
放
政
效
敖
敘
教
敢
敦
敬
整
斌
斗
新
方
於
旅
旌
族
旗
旬
旭
旺
昂
昆
昇
昊
昌
明
昔
星
昭
是
昶
時
晃
晉
晟
普
景
智
曆
曙
曜
曰
更
曹
有
服
朕
朗
望
朝
期
本
朱
材
杞
杰
東
松
柄
柏
柱
栓
校
桓
梁
梟
梧
棋
棚
棟
棣
森
植
椿
業
極
楷
概
榜
榮
槐
樂
樑
標
樞
樟
模
樸
樹
機
橫
櫟
權
欽
正
步
武
歧
歷
殿
毅
毫
民
永
求
汐
汗
汝
江
池
汪
沃
沅
沖
河
治
沿
泉
泊
泓
法
泗
波
注
泮
泰
洞
洪
洲
活
洽
派
流
浙
浚
浦
浩
浪
涇
涌
涯
淞
淦
淮
深
淳
淵
添
渠
渡
渤
渭
港
湖
湛
湧
湯
源
準
溥
溯
滄
滋
滔
滕
滬
演
漠
漢
漸
潛
潮
澄
澍
澎
澗
澤
激
濟
濤
濮
濱
瀚
灃
灝
火
灶
灼
炎
炫
炬
炯
炳
為
烈
烜
烽
無
焯
焰
焱
煉
煊
煌
煒
煜
煥
照
熊
熙
熠
熾
燈
燎
燦
燮
燻
爐
爭
爵
爾
特
犀
狀
狄
猛
猷
獅
獎
獻
玄
率
班
現
琅
理
琨
璋
璽
生
產
用
甫
甬
由
甲
申
甸
界
留
略
疇
登
發
百
皆
皓
益
盛
監
盤
目
直
相
省
眾
督
睦
瞻
知
石
碩
磊
磐
礦
社
祁
祈
祖
祚
祜
祠
祥
祺
祿
福
禧
禮
秉
科
秩
移
種
稱
稼
積
穩
空
窯
立
竟
章
竣
笠
符
第
筆
策
管
箭
節
範
篤
粹
精
糧
系
紀
紳
紹
結
統
綏
經
綜
維
綱
綸
綿
緒
緯
練
縱
績
繁
繩
繼
續
罡
羊
義
羲
羿
翔
翰
翱
翼
耀
而
耐
耕
耿
聖
聚
聯
聲
職
聿
肇
肯
育
胤
能
脈
臣
自
至
致
臻
興
舉
舜
航
舸
船
艦
良
茁
茂
茲
草
荊
萬
落
著
葛
蒼
蓋
蓬
蔣
蔭
蕩
薦
虎
虔
虞
號
蛟
行
衍
衛
衝
衡
衣
表
衷
裔
裕
裘
裡
西
要
覆
見
規
親
覺
觀
角
解
言
計
訊
訓
許
詒
詔
詞
詳
誌
誠
論
諸
謀
謙
謨
證
識
譜
護
讓
讚
豐
象
豪
豹
財
貢
貫
貴
貽
賀
資
賓
賜
賢
賦
質
賴
贊
贛
赤
起
超
趙
踐
躍
身
車
軍
軒
載
輔
輝
輪
輯
農
迅
近
迪
述
适
通
速
造
逢
進
逵
遂
遇
運
過
遐
道
達
遜
遠
適
遵
選
遼
邁
還
邊
邦
邵
郎
郝
郭
都
鄂
鄭
醒
里
重
野
量
釗
鈞
鉉
鉑
銅
銓
銘
銳
鋒
鋼
錄
錕
錫
錶
鍇
鍊
鍵
鍾
鎖
鎧
鎮
鎰
鏈
鏗
鏘
鏞
鏡
鐘
鐳
鐵
鐸
鑄
鑑
鑫
長
門
開
閱
闊
闖
關
阜
防
隆
階
際
隨
雄
集
雍
雷
電
霆
震
霍
革
鞏
韌
韜
韶
頂
項
順
須
頌
願
顥
顧
顯
養
餘
首
馳
駒
駟
駱
駿
騁
騎
騏
騰
驍
驚
驥
體
高
髮
鬆
鬚
鬥
魁
魯
鯤
鴻
鵠
鵬
鶴
鹹
麒
麟
麻
黨
鼎
齊
龍
龐
龔
一一
一丁
一三
一中
一之
一乙
一二
一亭
一亮
一人
一仁
一介
一仕
一位
一侖
一侯
一俊
一保
一信
一倫
一偉
一健
一傑
一儒
一元
一先
一光
一全
一公
一兵
一冬
一凡
一凱
一初
一剛
一劍
一力
一功
一勇
一勝
一勳
一匯
一升
一卓
一南
一博
一卜
一原
一可
一同
一名
一和
一品
一哲
一唐
一喆
一喜
一嘯
一四
一國
一圍
一土
一均
一坤
一堂
一堅
一堯
一塵
一增
一士
一壯
一夫
一奇
一奎
一好
一存
一孟
一宇
一安
一宏
一定
一宸
一寧
一寶
一展
一山
一峰
一嶽
一巖
一川
一州
一帆
一帥
一平
一康
一建
一弓
一弘
一弛
一強
一彪
一彬
一復
一德
一志
一忠
一念
一恆
一慶
一憲
一戈
一成
一才
一挺
一揚
一政
一文
一斌
一新
一方
一旭
一明
一星
一春
一晟
一普
一智
一暉
一暢
一書
一朗
一木
一本
一杭
一東
一林
一柏
一柯
一柱
一桂
一棟
一森
一楊
一楓
一楨
一榮
一樂
一權
一欽
一正
一武
一民
一水
一汀
一江
一池
一沛
一泉
一波
一洋
一洪
一洲
一浩
一浪
一浮
一海
一淳
一淼
一清
一湖
一湛
一源
一滔
一漢
一澤
一濤
一為
一焜
一焱
一煒
一熙
一特
一猛
一玄
一珉
一理
一琨
一生
一田
一甲
一發
一益
一睿
一知
一石
一碩
一磊
一祥
一祺
一禎
一福
一科
一程
一立
一章
一範
一粟
一統
一義
一翁
一翔
一聞
一聰
一聲
一能
一臣
一臻
一興
一舉
一舜
一舟
一航
一良
一萬
一虎
一行
一衝
一衡
一覺
一言
一許
一誠
一謀
一豐
一豪
一貴
一賀
一賓
一賢
一超
一越
一躍
一軍
一軒
一輝
一辰
一農
一週
一進
一達
一遠
一遷
一釗
一鈞
一銅
一銘
一鋒
一鋼
一錦
一鍾
一鐵
一鐸
一鑫
一開
一陽
一隆
一雄
一雷
一霖
一非
一順
一飛
一馳
一駿
一鬆
一魁
一魯
一鳴
一鴻
一鵬
一鶴
一麟
一鼎
一龍
丁一
丁丁
丁亮
丁偉
丁傑
丁元
丁全
丁公
丁午
丁友
丁宇
丁富
丁山
丁平
丁庫
丁強
丁文
丁旺
丁明
丁木
丁林
丁權
丁武
丁毅
丁河
丁泉
丁滔
丁濤
丁煌
丁瑞
丁生
丁發
丁碩
丁祥
丁禎
丁福
丁立
丁葆
丁財
丁貴
丁軍
丁銘
丁非
丁順
七七
七明
七星
七林
七根
七生
七緒
七虎
七郎
万旗
三一
三七
三三
三中
三丰
三九
三五
三亨
三亮
三人
三仁
三俊
三保
三偉
三傑
三元
三先
三全
三八
三六
三兵
三其
三剛
三劍
三力
三勇
三勝
三北
三升
三友
三吉
三同
三吾
三和
三喜
三國
三坡
三堂
三大
三太
三奇
三好
三學
三宏
三官
三定
三富
三寶
三山
三峰
三崗
三川
三平
三庚
三康
三強
三彪
三德
三忠
三慶
三懷
三成
三才
三文
三斌
三新
三旺
三昌
三明
三星
三春
三有
三木
三東
三林
三柏
三柱
三根
三森
三槐
三樂
三橋
三欽
三毛
三民
三水
三永
三江
三泉
三波
三泰
三洋
三洲
三流
三海
三源
三漢
三營
三牛
三猛
三理
三瑞
三生
三田
三畏
三發
三皮
三益
三省
三石
三磊
三祥
三祿
三福
三科
三立
三綱
三羊
三義
三耀
三聘
三興
三良
三莊
三虎
三行
三複
三觀
三記
三豐
三豹
三貴
三賢
三軍
三輝
三通
三進
三運
三金
三錫
三鎖
三長
三陽
三雄
三順
三餘
三鵬
三龍
上仁
上任
上元
上全
上凱
上剛
上升
上南
上卿
上善
上奎
上富
上寶
上山
上川
上平
上德
上志
上才
上文
上新
上旺
上明
上春
上智
上林
上植
上榮
上權
上沅
上河
上泉
上洋
上浦
上海
上清
上游
上源
上玉
上瑋
上生
上白
上福
上秋
上興
上華
上薰
上豹
上貴
上賓
上賢
上越
上軒
上輝
上進
上達
上金
上隆
上雄
上雲
上青
上飛
上鶴
不平
不為
不興
不識
不辰
丕中
丕仁
丕保
丕傑
丕光
丕全
丕功
丕君
丕善
丕均
丕基
丕奇
丕宇
丕安
丕宏
丕寶
丕山
丕峰
丕嶽
丕平
丕強
丕徵
丕德
丕恕
丕成
丕明
丕星
丕東
丕林
丕梁
丕森
丕植
丕楠
丕業
丕榮
丕武
丕毅
丕民
丕清
丕炎
丕炯
丕烈
丕煥
丕照
丕熙
丕營
丕生
丕相
丕祥
丕福
丕端
丕績
丕興
丕華
丕評
丕謨
丕賢
丕超
丕軒
丕金
丕雄
丕顯
丕高
丕鵬
丕龍
世一
世世
世中
世久
世乾
世亞
世亨
世亭
世亮
世仁
世付
世仲
世任
世來
世侖
世俊
世保
世信
世修
